regionRes,provRes,cityMunRes,regionResGeo,psgc
Region VI: Western Visayas,NEGROS OCCIDENTAL,CITY OF TALISAY,Region VI,PH064528000
Region VI: Western Visayas,NEGROS OCCIDENTAL,VALLADOLID,Region VI,PH064530000
Region VII: Central Visayas,BOHOL,ALBURQUERQUE,Region VII,PH071201000
Region VII: Central Visayas,BOHOL,BACLAYON,Region VII,PH071205000
Region VII: Central Visayas,BOHOL,BILAR,Region VII,PH071208000
Region VII: Central Visayas,BOHOL,CANDIJAY,Region VII,PH071211000
Region VII: Central Visayas,BOHOL,CARMEN,Region VII,PH071212000
Region VII: Central Visayas,BOHOL,CATIGBIAN,Region VII,PH071213000
Region VII: Central Visayas,BOHOL,CORTES,Region VII,PH071216000
Region VII: Central Visayas,BOHOL,DAUIS,Region VII,PH071219000
Region VII: Central Visayas,BOHOL,INABANGA,Region VII,PH071224000
Region VII: Central Visayas,BOHOL,LILA,Region VII,PH071227000
Region VII: Central Visayas,BOHOL,LOAY,Region VII,PH071228000
Region VII: Central Visayas,BOHOL,LOBOC,Region VII,PH071229000
Region VII: Central Visayas,BOHOL,LOON,Region VII,PH071230000
Region VII: Central Visayas,BOHOL,MARIBOJOC,Region VII,PH071232000
Region VII: Central Visayas,BOHOL,PILAR,Region VII,PH071234000
Region VII: Central Visayas,BOHOL,SAGBAYAN (BORJA),Region VII,PH071236000
Region VII: Central Visayas,BOHOL,SIERRA BULLONES,Region VII,PH071240000
Region VII: Central Visayas,BOHOL,TUBIGON,Region VII,PH071245000
Region VII: Central Visayas,BOHOL,UBAY,Region VII,PH071246000
Region VII: Central Visayas,CEBU,ALCANTARA,Region VII,PH072201000
Region VII: Central Visayas,CEBU,ARGAO,Region VII,PH072205000
Region VII: Central Visayas,CEBU,ASTURIAS,Region VII,PH072206000
Region VII: Central Visayas,CEBU,BALAMBAN,Region VII,PH072208000
Region VII: Central Visayas,CEBU,CITY OF BOGO,Region VII,PH072211000
Region VII: Central Visayas,CEBU,BOLJOON,Region VII,PH072212000
Region VII: Central Visayas,CEBU,CITY OF CARCAR,Region VII,PH072214000
Region VII: Central Visayas,CEBU,COMPOSTELA,Region VII,PH072218000
Region VII: Central Visayas,CEBU,CONSOLACION,Region VII,PH072219000
Region VII: Central Visayas,CEBU,CORDOVA,Region VII,PH072220000
Region VII: Central Visayas,CEBU,DAANBANTAYAN,Region VII,PH072221000
Region VII: Central Visayas,CEBU,DALAGUETE,Region VII,PH072222000
Region VII: Central Visayas,CEBU,DANAO CITY,Region VII,PH072223000
Region VII: Central Visayas,CEBU,DUMANJUG,Region VII,PH072224000
Region VII: Central Visayas,CEBU,LILOAN,Region VII,PH072227000
Region VII: Central Visayas,CEBU,MANDAUE CITY,Region VII,PH072230000
Region VII: Central Visayas,CEBU,MEDELLIN,Region VII,PH072231000
Region VII: Central Visayas,CEBU,MINGLANILLA,Region VII,PH072232000
Region VII: Central Visayas,CEBU,CITY OF NAGA,Region VII,PH072234000
Region VII: Central Visayas,CEBU,OSLOB,Region VII,PH072235000
Region VII: Central Visayas,CEBU,PILAR,Region VII,PH072236000
Region VII: Central Visayas,CEBU,PINAMUNGAHAN,Region VII,PH072237000
Region VII: Central Visayas,CEBU,RONDA,Region VII,PH072239000
Region VII: Central Visayas,CEBU,SAMBOAN,Region VII,PH072240000
Region VII: Central Visayas,CEBU,SAN FRANCISCO,Region VII,PH072242000
Region VII: Central Visayas,CEBU,SANTANDER,Region VII,PH072245000
Region VII: Central Visayas,CEBU,SIBONGA,Region VII,PH072246000
Region VII: Central Visayas,CEBU,SOGOD,Region VII,PH072247000
Region VII: Central Visayas,CEBU,CITY OF TALISAY,Region VII,PH072250000
Region VII: Central Visayas,CEBU,TUBURAN,Region VII,PH072252000
Region VII: Central Visayas,NEGROS ORIENTAL,AMLAN (AYUQUITAN),Region VII,PH074601000
Region VII: Central Visayas,NEGROS ORIENTAL,AYUNGON,Region VII,PH074602000
Region VII: Central Visayas,NEGROS ORIENTAL,BAIS CITY,Region VII,PH074604000
Region VII: Central Visayas,NEGROS ORIENTAL,BASAY,Region VII,PH074605000
Region VII: Central Visayas,NEGROS ORIENTAL,CITY OF BAYAWAN (TULONG),Region VII,PH074606000
Region VII: Central Visayas,NEGROS ORIENTAL,DUMAGUETE CITY (CAPITAL),Region VII,PH074610000
Region VII: Central Visayas,NEGROS ORIENTAL,CITY OF GUIHULNGAN,Region VII,PH074611000
Region VII: Central Visayas,NEGROS ORIENTAL,MABINAY,Region VII,PH074614000
Region VII: Central Visayas,NEGROS ORIENTAL,MANJUYOD,Region VII,PH074615000
Region VII: Central Visayas,NEGROS ORIENTAL,SANTA CATALINA,Region VII,PH074618000
Region VII: Central Visayas,NEGROS ORIENTAL,SIATON,Region VII,PH074619000
Region VII: Central Visayas,NEGROS ORIENTAL,CITY OF TANJAY,Region VII,PH074621000
Region VII: Central Visayas,NEGROS ORIENTAL,VALENCIA (LUZURRIAGA),Region VII,PH074623000
Region VII: Central Visayas,NEGROS ORIENTAL,ZAMBOANGUITA,Region VII,PH074625000
Region VII: Central Visayas,SIQUIJOR,LARENA,Region VII,PH076102000
Region VIII: Eastern Visayas,LEYTE,BURAUEN,Region VIII,PH083710000
Region VIII: Eastern Visayas,LEYTE,DULAG,Region VIII,PH083718000
Region VIII: Eastern Visayas,LEYTE,HILONGOS,Region VIII,PH083719000
Region VIII: Eastern Visayas,LEYTE,ISABEL,Region VIII,PH083722000
Region VIII: Eastern Visayas,LEYTE,ORMOC CITY,Region VIII,PH083738000
Region VIII: Eastern Visayas,LEYTE,TACLOBAN CITY (CAPITAL),Region VIII,PH083747000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,ANAHAWAN,Region VIII,PH086401000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,HINUNANGAN,Region VIII,PH086403000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,CITY OF MAASIN (CAPITAL),Region VIII,PH086407000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,MACROHON,Region VIII,PH086408000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,SOGOD,Region VIII,PH086417000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,DAPITAN CITY,Region IX,PH097201000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,DIPOLOG CITY (CAPITAL),Region IX,PH097202000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,LILOY,Region IX,PH097206000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,SINDANGAN,Region IX,PH097218000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,JOSE DALMAN (PONOT),Region IX,PH097222000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,AURORA,Region IX,PH097302000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,LABANGAN,Region IX,PH097312000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,MARGOSATUBIG,Region IX,PH097317000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,BUUG,Region IX,PH098302000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,IPIL (CAPITAL),Region IX,PH098305000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,MALANGAS,Region IX,PH098308000
Region X: Northern Mindanao,BUKIDNON,BAUNGON,Region X,PH101301000
Region X: Northern Mindanao,BUKIDNON,DON CARLOS,Region X,PH101304000
Region X: Northern Mindanao,BUKIDNON,LANTAPAN,Region X,PH101310000
Region X: Northern Mindanao,BUKIDNON,LIBONA,Region X,PH101311000
Region X: Northern Mindanao,BUKIDNON,CITY OF MALAYBALAY (CAPITAL),Region X,PH101312000
Region X: Northern Mindanao,BUKIDNON,MALITBOG,Region X,PH101313000
Region X: Northern Mindanao,BUKIDNON,MANOLO FORTICH,Region X,PH101314000
Region X: Northern Mindanao,BUKIDNON,MARAMAG,Region X,PH101315000
Region X: Northern Mindanao,BUKIDNON,PANGANTUCAN,Region X,PH101316000
Region X: Northern Mindanao,BUKIDNON,SUMILAO,Region X,PH101319000
Region X: Northern Mindanao,BUKIDNON,TALAKAG,Region X,PH101320000
Region X: Northern Mindanao,BUKIDNON,CITY OF VALENCIA,Region X,PH101321000
Region X: Northern Mindanao,CAMIGUIN,GUINSILIBAN,Region X,PH101802000
Region X: Northern Mindanao,CAMIGUIN,MAHINOG,Region X,PH101803000
Region X: Northern Mindanao,CAMIGUIN,MAMBAJAO (CAPITAL),Region X,PH101804000
Region X: Northern Mindanao,LANAO DEL NORTE,BALOI,Region X,PH103502000
Region X: Northern Mindanao,LANAO DEL NORTE,ILIGAN CITY,Region X,PH103504000
Region X: Northern Mindanao,LANAO DEL NORTE,KAPATAGAN,Region X,PH103505000
Region X: Northern Mindanao,LANAO DEL NORTE,KOLAMBUGAN,Region X,PH103508000
Region X: Northern Mindanao,LANAO DEL NORTE,LALA,Region X,PH103509000
Region X: Northern Mindanao,LANAO DEL NORTE,TUBOD (CAPITAL),Region X,PH103522000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,ALORAN,Region X,PH104201000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,CALAMBA,Region X,PH104204000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,CLARIN,Region X,PH104205000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,JIMENEZ,Region X,PH104207000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,LOPEZ JAENA,Region X,PH104208000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,OROQUIETA CITY (CAPITAL),Region X,PH104209000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,PLARIDEL,Region X,PH104212000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,TANGUB CITY,Region X,PH104215000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,TUDELA,Region X,PH104216000
Region X: Northern Mindanao,MISAMIS ORIENTAL,ALUBIJID,Region X,PH104301000
Region X: Northern Mindanao,MISAMIS ORIENTAL,BALINGASAG,Region X,PH104302000
Region X: Northern Mindanao,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),Region X,PH104305000
Region X: Northern Mindanao,MISAMIS ORIENTAL,CITY OF EL SALVADOR,Region X,PH104307000
Region X: Northern Mindanao,MISAMIS ORIENTAL,GINGOOG CITY,Region X,PH104308000
Region X: Northern Mindanao,MISAMIS ORIENTAL,JASAAN,Region X,PH104311000
Region X: Northern Mindanao,MISAMIS ORIENTAL,LAGONGLONG,Region X,PH104313000
Region X: Northern Mindanao,MISAMIS ORIENTAL,MEDINA,Region X,PH104319000
Region X: Northern Mindanao,MISAMIS ORIENTAL,OPOL,Region X,PH104321000
Region X: Northern Mindanao,MISAMIS ORIENTAL,SALAY,Region X,PH104322000
Region X: Northern Mindanao,MISAMIS ORIENTAL,TAGOLOAN,Region X,PH104324000
Region X: Northern Mindanao,MISAMIS ORIENTAL,TALISAYAN,Region X,PH104325000
Region XI: Davao Region,DAVAO DEL NORTE,ASUNCION (SAUG),Region XI,PH112301000
Region XI: Davao Region,DAVAO DEL NORTE,KAPALONG,Region XI,PH112305000
Region XI: Davao Region,DAVAO DEL NORTE,CITY OF PANABO,Region XI,PH112315000
Region XI: Davao Region,DAVAO DEL NORTE,SANTO TOMAS,Region XI,PH112318000
Region XI: Davao Region,DAVAO DEL NORTE,CITY OF TAGUM (CAPITAL),Region XI,PH112319000
Region XI: Davao Region,DAVAO DEL SUR,BANSALAN,Region XI,PH112401000
Region XI: Davao Region,DAVAO DEL SUR,CITY OF DIGOS (CAPITAL),Region XI,PH112403000
Region XI: Davao Region,DAVAO DEL SUR,HAGONOY,Region XI,PH112404000
Region XI: Davao Region,DAVAO DEL SUR,KIBLAWAN,Region XI,PH112406000
Region XI: Davao Region,DAVAO DEL SUR,MATANAO,Region XI,PH112410000
Region XI: Davao Region,DAVAO DEL SUR,PADADA,Region XI,PH112411000
Region XI: Davao Region,DAVAO ORIENTAL,LUPON,Region XI,PH112507000
Region XI: Davao Region,DAVAO ORIENTAL,CITY OF MATI (CAPITAL),Region XI,PH112509000
Region XI: Davao Region,DAVAO OCCIDENTAL,MALITA (CAPITAL),Region XI,PH118603000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),KABACAN,Region XII,PH124703000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),CITY OF KIDAPAWAN (CAPITAL),Region XII,PH124704000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),LIBUNGAN,Region XII,PH124705000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),MIDSAYAP,Region XII,PH124709000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),M'LANG,Region XII,PH124710000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),PIKIT,Region XII,PH124712000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,BANGA,Region XII,PH126302000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,GENERAL SANTOS CITY (DADIANGAS),Region XII,PH126303000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,NORALA,Region XII,PH126311000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,POLOMOLOK,Region XII,PH126312000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,SURALLAH,Region XII,PH126313000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,TANTANGAN,Region XII,PH126315000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,TUPI,Region XII,PH126317000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,ESPERANZA,Region XII,PH126503000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,KALAMANSIG,Region XII,PH126505000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,PALIMBANG,Region XII,PH126509000
Region XII: SOCCSKSARGEN,SARANGANI,ALABEL (CAPITAL),Region XII,PH128001000
Region XII: SOCCSKSARGEN,SARANGANI,KIAMBA,Region XII,PH128003000
Region XII: SOCCSKSARGEN,SARANGANI,MAITUM,Region XII,PH128005000
Region XII: SOCCSKSARGEN,SARANGANI,MALUNGON,Region XII,PH128007000
Region VI: Western Visayas,NEGROS OCCIDENTAL,CITY OF ESCALANTE,Region VI,PH064509000
Region VI: Western Visayas,NEGROS OCCIDENTAL,ISABELA,Region VI,PH064514000
Region VI: Western Visayas,NEGROS OCCIDENTAL,SAGAY CITY,Region VI,PH064523000
Region VI: Western Visayas,NEGROS OCCIDENTAL,SAN CARLOS CITY,Region VI,PH064524000
Region VI: Western Visayas,NEGROS OCCIDENTAL,TOBOSO,Region VI,PH064529000
Region VI: Western Visayas,NEGROS OCCIDENTAL,CITY OF VICTORIAS,Region VI,PH064531000
Region VII: Central Visayas,BOHOL,CLARIN,Region VII,PH071214000
Region VII: Central Visayas,BOHOL,DANAO,Region VII,PH071218000
Region VII: Central Visayas,BOHOL,GARCIA HERNANDEZ,Region VII,PH071222000
Region VII: Central Visayas,BOHOL,MABINI,Region VII,PH071231000
Region VII: Central Visayas,BOHOL,TRINIDAD,Region VII,PH071244000
Region VII: Central Visayas,BOHOL,VALENCIA,Region VII,PH071247000
Region VII: Central Visayas,CEBU,ALCOY,Region VII,PH072202000
Region VII: Central Visayas,CEBU,ALEGRIA,Region VII,PH072203000
Region VII: Central Visayas,CEBU,ALOGUINSAN,Region VII,PH072204000
Region VII: Central Visayas,CEBU,CARMEN,Region VII,PH072215000
Region VII: Central Visayas,CEBU,CATMON,Region VII,PH072216000
Region VII: Central Visayas,CEBU,MOALBOAL,Region VII,PH072233000
Region VII: Central Visayas,CEBU,SAN FERNANDO,Region VII,PH072241000
Region VII: Central Visayas,CEBU,SANTA FE,Region VII,PH072244000
Region VII: Central Visayas,NEGROS ORIENTAL,BACONG,Region VII,PH074603000
Region VII: Central Visayas,NEGROS ORIENTAL,JIMALALUD,Region VII,PH074612000
Region VII: Central Visayas,NEGROS ORIENTAL,SIBULAN,Region VII,PH074620000
Region VIII: Eastern Visayas,EASTERN SAMAR,BALANGIGA,Region VIII,PH082602000
Region VIII: Eastern Visayas,EASTERN SAMAR,SULAT,Region VIII,PH082622000
Region VIII: Eastern Visayas,LEYTE,ALBUERA,Region VIII,PH083703000
Region VIII: Eastern Visayas,LEYTE,CITY OF BAYBAY,Region VIII,PH083708000
Region VIII: Eastern Visayas,LEYTE,DAGAMI,Region VIII,PH083717000
Region VIII: Eastern Visayas,LEYTE,INOPACAN,Region VIII,PH083721000
Region VIII: Eastern Visayas,LEYTE,MAYORGA,Region VIII,PH083735000
Region VIII: Eastern Visayas,LEYTE,PALO,Region VIII,PH083739000
Region VIII: Eastern Visayas,NORTHERN SAMAR,PAMBUJAN,Region VIII,PH084815000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),BASEY,Region VIII,PH086002000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),CALBAYOG CITY,Region VIII,PH086003000
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),GANDARA,Region VIII,PH086007000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,PIÑAN (NEW PIÑAN),Region IX,PH097209000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,POLANCO,Region IX,PH097210000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,BALIGUIAN,Region IX,PH097224000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,MAHAYAG,Region IX,PH097315000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,MOLAVE,Region IX,PH097319000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,SIAY,Region IX,PH098313000
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),CITY OF ISABELA,Region IX,PH099701000
Region X: Northern Mindanao,BUKIDNON,QUEZON,Region X,PH101317000
Region X: Northern Mindanao,CAMIGUIN,CATARMAN,Region X,PH101801000
Region X: Northern Mindanao,CAMIGUIN,SAGAY,Region X,PH101805000
Region X: Northern Mindanao,LANAO DEL NORTE,BACOLOD,Region X,PH103501000
Region X: Northern Mindanao,LANAO DEL NORTE,SALVADOR,Region X,PH103518000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,BONIFACIO,Region X,PH104203000
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,SINACABAN,Region X,PH104214000
Region X: Northern Mindanao,MISAMIS ORIENTAL,CLAVERIA,Region X,PH104306000
Region X: Northern Mindanao,MISAMIS ORIENTAL,INITAO,Region X,PH104310000
Region X: Northern Mindanao,MISAMIS ORIENTAL,KINOGUITAN,Region X,PH104312000
Region X: Northern Mindanao,MISAMIS ORIENTAL,LIBERTAD,Region X,PH104315000
Region X: Northern Mindanao,MISAMIS ORIENTAL,VILLANUEVA,Region X,PH104326000
Region XI: Davao Region,DAVAO DEL NORTE,NEW CORELLA,Region XI,PH112314000
Region XI: Davao Region,DAVAO DEL SUR,SULOP,Region XI,PH112414000
Region XI: Davao Region,DAVAO ORIENTAL,BAGANGA,Region XI,PH112501000
Region XI: Davao Region,DAVAO ORIENTAL,GOVERNOR GENEROSO,Region XI,PH112506000
Region XI: Davao Region,DAVAO DE ORO,MACO,Region XI,PH118605000
Region XI: Davao Region,DAVAO DE ORO,MARAGUSAN (SAN MARIANO),Region XI,PH112323000
Region XI: Davao Region,DAVAO DE ORO,MONKAYO,Region XI,PH112323000
Region XI: Davao Region,DAVAO DE ORO,NABUNTURAN (CAPITAL),Region XI,PH112317000
Region XI: Davao Region,DAVAO DE ORO,PANTUKAN,Region XI,PH112323000
Region XI: Davao Region,DAVAO OCCIDENTAL,SANTA MARIA,Region XI,PH118604000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),CARMEN,Region XII,PH124702000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),PIGKAWAYAN,Region XII,PH124711000
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),BANISILAN,Region XII,PH124716000
Region XII: SOCCSKSARGEN,SOUTH COTABATO,TAMPAKAN,Region XII,PH126314000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,ISULAN (CAPITAL),Region XII,PH126504000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,LAMBAYONG (MARIANO MARCOS),Region XII,PH126508000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,PRESIDENT QUIRINO,Region XII,PH126510000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,CITY OF TACURONG,Region XII,PH126511000
Region XII: SOCCSKSARGEN,SARANGANI,GLAN,Region XII,PH128002000
Region VI: Western Visayas,NEGROS OCCIDENTAL,HINIGARAN,Region VI,PH064511000
Region VI: Western Visayas,NEGROS OCCIDENTAL,ILOG,Region VI,PH064513000
Region VI: Western Visayas,NEGROS OCCIDENTAL,LA CASTELLANA,Region VI,PH064517000
Region VI: Western Visayas,NEGROS OCCIDENTAL,MANAPLA,Region VI,PH064518000
Region VI: Western Visayas,NEGROS OCCIDENTAL,CITY OF SIPALAY,Region VI,PH064527000
Region VI: Western Visayas,GUIMARAS,JORDAN (CAPITAL),Region VI,PH067902000
Region VII: Central Visayas,BOHOL,ALICIA,Region VII,PH071202000
Region VII: Central Visayas,BOHOL,ANDA,Region VII,PH071203000
Region VII: Central Visayas,BOHOL,BATUAN,Region VII,PH071207000
Region VII: Central Visayas,BOHOL,CALAPE,Region VII,PH071210000
Region VII: Central Visayas,BOHOL,GUINDULMAN,Region VII,PH071223000
Region VII: Central Visayas,BOHOL,GETAFE,Region VII,PH071226000
Region VII: Central Visayas,BOHOL,PANGLAO,Region VII,PH071233000
Region VII: Central Visayas,BOHOL,SAN ISIDRO,Region VII,PH071237000
Region VII: Central Visayas,CEBU,BADIAN,Region VII,PH072207000
Region VII: Central Visayas,CEBU,TABUELAN,Region VII,PH072249000
Region VII: Central Visayas,CEBU,TUDELA,Region VII,PH072253000
Region VII: Central Visayas,NEGROS ORIENTAL,DAUIN,Region VII,PH074609000
Region VII: Central Visayas,NEGROS ORIENTAL,LA LIBERTAD,Region VII,PH074613000
Region VII: Central Visayas,NEGROS ORIENTAL,PAMPLONA,Region VII,PH074616000
Region VII: Central Visayas,NEGROS ORIENTAL,VALLEHERMOSO,Region VII,PH074624000
Region VIII: Eastern Visayas,LEYTE,BARUGO,Region VIII,PH083706000
Region VIII: Eastern Visayas,LEYTE,KANANGA,Region VIII,PH083726000
Region VIII: Eastern Visayas,LEYTE,PALOMPON,Region VIII,PH083740000
Region VIII: Eastern Visayas,LEYTE,SAN ISIDRO,Region VIII,PH083742000
Region VIII: Eastern Visayas,LEYTE,SANTA FE,Region VIII,PH083744000
Region VIII: Eastern Visayas,LEYTE,TANAUAN,Region VIII,PH083748000
Region VIII: Eastern Visayas,NORTHERN SAMAR,LAVEZARES,Region VIII,PH084811000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,TOMAS OPPUS,Region VIII,PH086418000
Region VIII: Eastern Visayas,BILIRAN,NAVAL (CAPITAL),Region VIII,PH087808000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,KATIPUNAN,Region IX,PH097203000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,GUTALAC,Region IX,PH097223000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,DIMATALING,Region IX,PH097305000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,RAMON MAGSAYSAY (LIARGO),Region IX,PH097323000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,TABINA,Region IX,PH097327000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,LAKEWOOD,Region IX,PH097333000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,OLUTANGA,Region IX,PH098310000
Region X: Northern Mindanao,BUKIDNON,IMPASUG-ONG,Region X,PH101305000
Region X: Northern Mindanao,BUKIDNON,KIBAWE,Region X,PH101308000
Region X: Northern Mindanao,BUKIDNON,KITAOTAO,Region X,PH101309000
Region X: Northern Mindanao,LANAO DEL NORTE,SAPAD,Region X,PH103519000
Region X: Northern Mindanao,LANAO DEL NORTE,PANTAR,Region X,PH103523000
Region X: Northern Mindanao,MISAMIS ORIENTAL,LAGUINDINGAN,Region X,PH104314000
Region X: Northern Mindanao,MISAMIS ORIENTAL,MANTICAO,Region X,PH104318000
Region X: Northern Mindanao,MISAMIS ORIENTAL,SUGBONGCOGON,Region X,PH104323000
Region XI: Davao Region,DAVAO DEL SUR,SANTA CRUZ,Region XI,PH112412000
Region XI: Davao Region,DAVAO DE ORO,COMPOSTELA,Region XI,PH112317000
Region XI: Davao Region,DAVAO DE ORO,MAWAB,Region XI,PH112403000
Region XI: Davao Region,DAVAO DE ORO,MONTEVISTA,Region XI,PH112317000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,LUTAYAN,Region XII,PH126507000
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,SEN. NINOY AQUINO,Region XII,PH126512000
Region XII: SOCCSKSARGEN,SARANGANI,MALAPATAN,Region XII,PH128006000
Region VI: Western Visayas,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA (SARAVIA),Region VI,PH064508000
Region VII: Central Visayas,BOHOL,ANTEQUERA,Region VII,PH071204000
Region VII: Central Visayas,BOHOL,JAGNA,Region VII,PH071225000
Region VII: Central Visayas,BOHOL,PRES. CARLOS P. GARCIA (PITOGO),Region VII,PH071235000
Region VII: Central Visayas,BOHOL,SAN MIGUEL,Region VII,PH071238000
Region VII: Central Visayas,BOHOL,SIKATUNA,Region VII,PH071241000
Region VII: Central Visayas,BOHOL,BIEN UNIDO,Region VII,PH071248000
Region VII: Central Visayas,CEBU,SAN REMIGIO,Region VII,PH072243000
Region VII: Central Visayas,NEGROS ORIENTAL,CANLAON CITY,Region VII,PH074608000
Region VII: Central Visayas,SIQUIJOR,ENRIQUE VILLANUEVA,Region VII,PH076101000
Region VII: Central Visayas,SIQUIJOR,SAN JUAN,Region VII,PH076105000
Region VII: Central Visayas,SIQUIJOR,SIQUIJOR (CAPITAL),Region VII,PH076106000
Region VIII: Eastern Visayas,EASTERN SAMAR,MERCEDES,Region VIII,PH082616000
Region VIII: Eastern Visayas,LEYTE,CALUBIAN,Region VIII,PH083713000
Region VIII: Eastern Visayas,LEYTE,CARIGARA,Region VIII,PH083715000
Region VIII: Eastern Visayas,LEYTE,JARO,Region VIII,PH083723000
Region VIII: Eastern Visayas,LEYTE,MATALOM,Region VIII,PH083734000
Region VIII: Eastern Visayas,LEYTE,MERIDA,Region VIII,PH083736000
Region VIII: Eastern Visayas,NORTHERN SAMAR,LAOANG,Region VIII,PH084808000
Region VIII: Eastern Visayas,NORTHERN SAMAR,LOPE DE VEGA,Region VIII,PH084824000
Region VIII: Eastern Visayas,SOUTHERN LEYTE,SAN FRANCISCO,Region VIII,PH086413000
Region VIII: Eastern Visayas,BILIRAN,CAIBIRAN,Region VIII,PH087804000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,MUTIA,Region IX,PH097208000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,SIAYAN,Region IX,PH097215000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,BAYOG,Region IX,PH097303000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,SAN MIGUEL,Region IX,PH097324000
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,TIGBAO,Region IX,PH097344000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,KABASALAN,Region IX,PH098306000
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,ROSELLER LIM,Region IX,PH098312000
